odds_name,main_name
Arsenal,Arsenal
Fulham,Fulham
Newcastle,Newcastle United
QPR,Queens Park Rangers
Reading,Reading
West Brom,West Bromwich Albion
West Ham,West Ham United
Man City,Manchester City
Wigan,Wigan Athletic
Everton,Everton
Chelsea,Chelsea
Aston Villa,Aston Villa
Man United,Manchester United
Norwich,Norwich City
Southampton,Southampton
Swansea,Swansea City
Tottenham,Tottenham Hotspur
Liverpool,Liverpool
Stoke,Stoke City
Sunderland,Sunderland
Blackburn,Blackburn Rovers
Bolton,Bolton Wanderers
Wolves,Wolverhampton Wanderers
Celta,Celta de Vigo
Mallorca,Mallorca
Sevilla,Sevilla
Ath Bilbao,Athletic Club
Barcelona,Barcelona
Levante,Levante
Real Madrid,Real Madrid
La Coruna,Deportivo de La Coruña
Vallecano,Rayo Vallecano
Zaragoza,Real Zaragoza
Betis,Real Betis
Espanol,Espanyol
Malaga,Málaga
Sociedad,Real Sociedad
Getafe,Getafe
Granada,Granada CF
Osasuna,Osasuna
Valencia,Valencia
Ath Madrid,Atlético de Madrid
Valladolid,Real Valladolid
Almeria,Almería
Elche,Elche
Villarreal,Villarreal
